scenario_id,runs_observed,usable_runs,question_matched_runs,domestic_violence_explicit_probe_runs,expected_category_present_initial_runs,expected_category_is_initial_top_runs,expected_category_present_final_runs,expected_category_is_final_top_runs,final_exact_scorable_matched_runs,expected_exact_label_present_final_runs,distinct_question_sets,distinct_final_label_sets,swap_pair,domestic_violence_hidden_fact,paper_failure_mode
legacy_001,3,3,2,0,0,0,2,2,2,1,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_002,3,3,3,0,2,0,3,3,3,0,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_003,3,3,1,0,0,0,1,0,1,0,2,1,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_004,3,3,3,0,0,0,3,3,3,1,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_005,3,3,2,0,0,0,2,2,2,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_006,3,3,2,0,0,0,2,1,2,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_007,3,3,3,0,0,0,3,3,3,1,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_008,3,3,3,0,0,0,3,2,3,0,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_009,3,3,3,0,0,0,3,3,3,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_010,3,3,3,0,0,0,3,3,3,1,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_011,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_012,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_013,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_014,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_015,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_016,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_017,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_018,3,3,0,0,3,3,0,0,0,0,3,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_019,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_020,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_021,3,3,3,1,0,0,3,0,3,3,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_022,3,3,3,1,0,0,3,0,3,3,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_023,3,3,3,2,0,0,3,1,3,0,3,3,criminal_vs_restraining,False,criminal_vs_restraining
legacy_024,3,3,3,3,0,0,3,3,3,1,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_025,3,3,3,2,0,0,2,0,3,2,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_026,3,3,3,3,0,0,0,0,3,0,3,3,criminal_vs_restraining,False,criminal_vs_restraining
legacy_027,3,3,3,1,0,0,2,0,3,2,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_028,3,3,3,1,0,0,2,0,3,2,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_029,3,3,3,3,0,0,0,0,3,0,3,3,criminal_vs_restraining,False,criminal_vs_restraining
legacy_030,3,3,3,2,0,0,3,0,3,3,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_031,3,3,0,0,3,0,0,0,0,0,2,0,criminal_vs_restraining,False,criminal_vs_restraining
legacy_032,3,3,2,1,0,0,0,0,2,0,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_033,3,3,2,2,0,0,0,0,2,0,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_034,3,3,0,0,0,0,0,0,0,0,3,0,criminal_vs_restraining,False,criminal_vs_restraining
legacy_035,3,3,1,2,0,0,0,0,1,0,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_036,3,3,3,1,1,0,0,0,3,0,3,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_037,3,3,1,1,3,2,0,0,1,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_038,3,3,1,1,0,0,0,0,1,0,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_039,3,3,3,0,3,0,0,0,3,0,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_040,3,3,1,1,2,0,0,0,1,0,3,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_041,3,3,3,0,3,3,3,3,3,0,3,1,custody_vs_support,False,
legacy_042,3,3,3,1,3,3,3,3,3,1,3,2,custody_vs_support,False,
legacy_043,3,3,3,0,3,3,3,3,3,1,2,2,custody_vs_support,False,
legacy_044,3,3,1,1,3,3,1,1,1,0,3,1,custody_vs_support,False,
legacy_045,3,3,3,0,3,3,3,3,3,1,3,2,custody_vs_support,False,
legacy_046,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_047,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_048,3,3,3,2,3,3,3,3,3,1,3,2,custody_vs_support,False,
legacy_049,3,3,3,3,3,3,3,3,3,0,3,3,custody_vs_support,False,
legacy_050,3,3,3,0,3,3,3,3,3,0,3,2,custody_vs_support,False,
legacy_051,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_052,3,3,2,0,3,3,2,2,2,2,3,2,custody_vs_support,False,
legacy_053,3,3,3,0,3,3,3,3,3,3,3,2,custody_vs_support,False,
legacy_054,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_055,3,3,3,1,3,3,3,3,3,3,3,2,custody_vs_support,False,
legacy_056,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_057,3,3,3,0,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_058,3,3,2,0,3,3,2,2,2,2,3,1,custody_vs_support,False,
legacy_059,3,3,3,1,3,3,3,3,3,3,3,2,custody_vs_support,False,
legacy_060,3,3,3,1,3,3,3,3,3,3,3,1,custody_vs_support,False,
legacy_061,3,3,3,0,2,0,3,3,3,3,3,1,debtor_vs_creditor,False,
legacy_062,3,3,3,0,0,0,3,3,3,3,3,2,debtor_vs_creditor,False,
legacy_063,3,3,3,0,3,0,3,1,3,2,3,3,debtor_vs_creditor,False,
legacy_064,3,3,3,0,3,2,3,1,3,0,3,3,debtor_vs_creditor,False,
legacy_065,3,3,3,0,3,1,3,2,3,3,3,2,debtor_vs_creditor,False,
legacy_066,3,3,3,0,3,1,1,0,3,1,3,3,debtor_vs_creditor,False,
legacy_067,3,3,3,0,3,2,2,2,3,2,3,2,debtor_vs_creditor,False,
legacy_068,3,3,3,0,3,3,1,0,3,1,3,2,debtor_vs_creditor,False,
legacy_069,3,3,3,0,3,3,2,0,3,2,3,3,debtor_vs_creditor,False,
legacy_070,3,3,3,0,3,3,2,0,3,0,3,3,debtor_vs_creditor,False,
legacy_071,3,3,0,0,0,0,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_072,3,3,0,0,1,0,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_073,3,3,0,0,1,0,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_074,3,3,0,0,3,3,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_075,3,3,1,0,0,0,1,1,1,0,3,1,debtor_vs_creditor,False,
legacy_076,3,3,0,0,3,2,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_077,3,3,0,0,3,2,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_078,3,3,0,0,3,3,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_079,3,3,0,0,0,0,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_080,3,3,0,0,3,1,0,0,0,0,3,0,debtor_vs_creditor,False,
legacy_081,3,3,2,2,3,3,2,2,2,0,3,1,domestic_violence,True,domestic_violence
legacy_082,3,3,0,0,3,3,0,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_083,3,3,0,0,3,3,0,0,0,0,3,0,domestic_violence,True,domestic_violence
legacy_084,3,3,1,1,3,3,1,1,1,0,2,1,domestic_violence,True,domestic_violence
legacy_085,3,3,2,2,3,3,2,2,2,0,3,1,domestic_violence,True,domestic_violence
legacy_086,3,3,0,0,3,3,0,0,0,0,3,0,domestic_violence,True,domestic_violence
legacy_087,3,3,1,1,3,3,1,1,1,0,2,1,domestic_violence,True,domestic_violence
legacy_088,3,3,0,0,3,3,0,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_089,3,3,0,3,3,3,0,0,0,0,3,0,domestic_violence,True,domestic_violence
legacy_090,3,3,0,0,3,3,0,0,0,0,1,0,domestic_violence,True,domestic_violence
legacy_091,3,3,3,3,3,3,3,3,3,3,3,1,domestic_violence,False,domestic_violence
legacy_092,3,3,1,1,3,3,1,1,1,1,3,1,domestic_violence,False,domestic_violence
legacy_093,3,3,3,2,3,3,3,3,3,3,3,2,domestic_violence,False,domestic_violence
legacy_094,3,3,1,1,3,3,1,1,1,1,2,1,domestic_violence,False,domestic_violence
legacy_095,3,3,0,0,3,3,0,0,0,0,2,0,domestic_violence,False,domestic_violence
legacy_096,3,3,3,2,3,3,3,3,3,0,3,3,domestic_violence,False,domestic_violence
legacy_097,3,3,3,3,3,3,3,3,3,3,3,2,domestic_violence,False,domestic_violence
legacy_098,3,3,2,0,3,3,2,2,2,2,3,1,domestic_violence,False,domestic_violence
legacy_099,3,3,0,0,3,3,0,0,0,0,2,0,domestic_violence,False,domestic_violence
legacy_100,3,3,2,2,3,3,2,2,2,2,3,1,domestic_violence,False,domestic_violence
legacy_101,3,3,3,0,3,0,3,3,3,3,2,1,dui_vs_dmv,False,
legacy_102,3,3,3,0,3,0,3,3,3,3,3,1,dui_vs_dmv,False,
legacy_103,3,3,3,0,3,0,3,3,3,3,2,2,dui_vs_dmv,False,
legacy_104,3,3,3,0,3,0,3,3,3,3,2,1,dui_vs_dmv,False,
legacy_105,3,3,3,0,2,0,3,3,3,3,3,1,dui_vs_dmv,False,
legacy_106,3,3,3,0,3,0,3,3,3,3,3,2,dui_vs_dmv,False,
legacy_107,3,3,3,0,3,0,3,3,3,3,3,1,dui_vs_dmv,False,
legacy_108,3,3,3,0,3,1,3,2,3,3,3,3,dui_vs_dmv,False,
legacy_109,3,3,3,0,3,1,3,3,3,3,2,1,dui_vs_dmv,False,
legacy_110,3,3,3,0,3,2,3,1,3,3,3,3,dui_vs_dmv,False,
legacy_111,3,3,3,0,3,3,3,0,3,0,1,1,dui_vs_dmv,False,
legacy_112,3,3,3,0,3,3,2,0,3,0,3,2,dui_vs_dmv,False,
legacy_113,3,3,3,0,3,3,3,0,3,0,3,1,dui_vs_dmv,False,
legacy_114,3,3,3,0,3,3,3,0,3,0,3,1,dui_vs_dmv,False,
legacy_115,3,3,3,0,3,3,3,0,3,0,3,1,dui_vs_dmv,False,
legacy_116,3,3,3,0,3,3,2,0,3,0,3,2,dui_vs_dmv,False,
legacy_117,3,3,3,0,3,3,3,1,3,0,3,2,dui_vs_dmv,False,
legacy_118,3,3,3,0,3,3,1,0,3,0,3,2,dui_vs_dmv,False,
legacy_119,3,3,3,0,3,3,3,0,3,0,2,1,dui_vs_dmv,False,
legacy_120,3,3,3,0,3,3,2,0,3,0,3,2,dui_vs_dmv,False,
legacy_121,3,3,3,0,3,3,0,0,3,0,3,3,employee_vs_employer,False,
legacy_122,3,3,3,1,3,3,0,0,3,0,3,3,employee_vs_employer,False,
legacy_123,3,3,2,0,3,3,0,0,2,0,3,2,employee_vs_employer,False,
legacy_124,3,3,3,0,0,0,3,1,3,3,3,2,employee_vs_employer,False,
legacy_125,3,3,3,0,3,3,0,0,3,0,3,2,employee_vs_employer,False,
legacy_126,3,3,3,1,0,0,3,1,3,1,3,3,employee_vs_employer,False,
legacy_127,3,3,3,0,3,3,0,0,3,0,3,2,employee_vs_employer,False,
legacy_128,3,3,3,0,3,3,2,0,3,2,3,3,employee_vs_employer,False,
legacy_129,3,3,3,0,3,3,0,0,3,0,3,2,employee_vs_employer,False,
legacy_130,3,3,3,0,3,0,3,3,3,3,3,3,employee_vs_employer,False,
legacy_131,3,3,3,0,1,0,3,3,0,0,3,2,employee_vs_employer,False,
legacy_132,3,3,3,0,1,0,3,3,0,0,3,2,employee_vs_employer,False,
legacy_133,3,3,3,0,0,0,3,3,0,0,3,3,employee_vs_employer,False,
legacy_134,3,3,3,0,1,0,3,3,0,0,3,3,employee_vs_employer,False,
legacy_135,3,3,3,0,3,0,3,3,0,0,3,2,employee_vs_employer,False,
legacy_136,3,3,3,0,0,0,3,3,0,0,3,2,employee_vs_employer,False,
legacy_137,3,3,2,1,3,3,0,0,0,0,3,2,employee_vs_employer,False,
legacy_138,3,3,2,0,0,0,2,2,0,0,3,2,employee_vs_employer,False,
legacy_139,3,3,3,0,3,2,3,1,0,0,3,2,employee_vs_employer,False,
legacy_140,3,3,3,0,0,0,3,3,0,0,3,2,employee_vs_employer,False,
legacy_141,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_142,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_143,3,3,1,0,3,3,0,0,1,0,2,1,employment_admin,False,employment_admin
legacy_144,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_145,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_146,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_147,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_148,3,3,2,0,3,3,0,0,2,0,3,1,employment_admin,False,employment_admin
legacy_149,3,3,0,0,3,3,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_150,3,3,1,0,3,3,0,0,1,0,3,1,employment_admin,False,employment_admin
legacy_151,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_152,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_153,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_154,3,3,1,0,0,0,1,1,0,0,3,1,employment_admin,False,employment_admin
legacy_155,3,3,1,0,0,0,1,1,0,0,3,1,employment_admin,False,employment_admin
legacy_156,3,3,2,0,0,0,2,2,0,0,3,1,employment_admin,False,employment_admin
legacy_157,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_158,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_159,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_160,3,3,0,0,0,0,0,0,0,0,3,0,employment_admin,False,employment_admin
legacy_161,3,3,3,3,3,1,2,1,3,2,2,3,injury_location,False,injury_location
legacy_162,3,3,3,0,3,3,1,0,3,1,3,2,injury_location,False,injury_location
legacy_163,3,3,3,2,3,3,1,0,3,1,3,3,injury_location,False,injury_location
legacy_164,3,3,3,3,3,3,3,1,3,3,3,3,injury_location,False,injury_location
legacy_165,3,3,0,0,0,0,0,0,0,0,1,0,injury_location,False,injury_location
legacy_166,3,3,3,0,3,3,2,0,3,2,3,3,injury_location,False,injury_location
legacy_167,3,3,3,0,3,3,0,0,3,0,1,2,injury_location,False,injury_location
legacy_168,3,3,3,0,3,3,0,0,3,0,3,2,injury_location,False,injury_location
legacy_169,3,3,3,0,3,3,1,0,3,1,3,3,injury_location,False,injury_location
legacy_170,3,3,3,0,3,3,2,0,3,2,2,2,injury_location,False,injury_location
legacy_171,3,3,3,0,3,3,0,0,3,0,2,1,injury_location,False,injury_location
legacy_172,3,3,1,1,3,3,0,0,1,0,3,1,injury_location,False,injury_location
legacy_173,3,3,3,0,3,3,0,0,3,0,3,3,injury_location,False,injury_location
legacy_174,3,3,0,0,3,3,0,0,0,0,1,0,injury_location,False,injury_location
legacy_175,3,3,2,0,3,3,0,0,2,0,3,1,injury_location,False,injury_location
legacy_176,3,3,0,0,3,3,0,0,0,0,3,0,injury_location,False,injury_location
legacy_177,3,3,3,0,3,3,0,0,3,0,3,1,injury_location,False,injury_location
legacy_178,3,3,0,1,3,3,0,0,0,0,3,0,injury_location,False,injury_location
legacy_179,3,3,1,0,3,3,0,0,1,0,3,1,injury_location,False,injury_location
legacy_180,3,3,2,0,3,3,0,0,2,0,3,1,injury_location,False,injury_location
legacy_181,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_182,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_183,3,3,3,0,2,0,2,0,3,0,3,2,tenant_vs_landlord,False,
legacy_184,3,3,0,0,3,3,0,0,0,0,1,0,tenant_vs_landlord,False,
legacy_185,3,3,3,0,3,3,3,3,3,2,3,2,tenant_vs_landlord,False,
legacy_186,3,3,3,0,3,3,3,3,3,3,3,3,tenant_vs_landlord,False,
legacy_187,3,3,1,0,3,3,1,1,1,1,2,1,tenant_vs_landlord,False,
legacy_188,3,3,3,0,3,3,3,3,3,2,3,2,tenant_vs_landlord,False,
legacy_189,3,3,2,0,3,3,2,2,2,2,3,2,tenant_vs_landlord,False,
legacy_190,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_191,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_192,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_193,3,3,1,0,3,3,1,1,1,1,2,1,tenant_vs_landlord,False,
legacy_194,3,3,3,0,3,3,3,3,3,3,3,1,tenant_vs_landlord,False,
legacy_195,3,3,3,0,3,3,3,3,3,3,3,2,tenant_vs_landlord,False,
legacy_196,3,3,3,0,3,3,3,3,3,3,3,2,tenant_vs_landlord,False,
legacy_197,3,3,2,0,3,3,2,2,2,2,3,1,tenant_vs_landlord,False,
legacy_198,3,3,3,0,3,3,3,3,3,3,3,2,tenant_vs_landlord,False,
legacy_199,3,3,3,0,3,3,3,3,3,3,3,3,tenant_vs_landlord,False,
legacy_200,3,3,3,0,3,3,3,3,3,3,3,3,tenant_vs_landlord,False,
x0001,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0002,3,3,3,0,3,3,3,3,3,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0003,3,3,3,3,3,3,3,3,3,1,3,3,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0004,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0005,3,3,3,3,3,3,3,3,3,0,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0006,3,3,3,1,3,3,3,3,3,1,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0007,3,3,3,3,3,3,3,3,3,1,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0008,3,3,2,1,3,3,2,2,2,0,3,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0009,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0010,3,3,2,2,3,3,2,2,2,0,3,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0011,3,3,3,3,3,3,3,3,3,1,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0012,3,3,2,0,3,3,2,2,2,0,3,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0013,3,3,3,3,3,3,3,3,3,0,3,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0014,3,3,3,0,3,3,3,3,3,2,3,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0015,3,3,3,3,3,3,3,3,3,2,3,3,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0016,3,3,2,2,3,3,2,2,2,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0017,3,3,3,1,3,3,3,3,3,0,3,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0018,3,3,3,0,3,3,3,3,3,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0019,3,3,2,2,3,3,2,2,2,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0020,3,3,1,1,3,3,1,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0021,3,3,1,0,3,3,1,1,1,0,3,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0022,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0023,3,3,2,1,3,3,2,2,2,0,3,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0024,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0025,3,3,3,2,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0026,3,3,3,1,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0027,3,3,3,3,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0028,3,3,3,3,3,3,3,3,3,0,3,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0029,3,3,3,1,3,3,3,3,3,0,3,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0030,3,3,3,2,3,3,3,3,3,0,3,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0031,3,3,0,0,3,3,0,0,0,0,2,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0032,3,3,0,0,3,3,0,0,0,0,1,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0033,3,3,3,1,3,3,3,3,3,2,3,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0034,3,3,3,1,3,3,3,3,3,0,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0035,3,3,2,2,3,3,2,2,2,0,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0036,3,3,0,0,3,3,0,0,0,0,3,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0037,3,3,2,0,3,3,2,2,2,2,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0038,3,3,3,2,3,3,3,3,3,1,3,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0039,3,3,3,3,3,3,3,3,3,0,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0040,3,3,0,0,3,3,0,0,0,0,2,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0041,3,3,2,0,3,3,2,2,2,1,3,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0042,3,3,3,2,3,3,3,3,3,0,3,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0043,3,3,1,1,3,3,1,1,1,0,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0044,3,3,2,0,3,3,2,2,2,0,3,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0045,3,3,3,1,3,3,3,3,3,0,3,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0046,3,3,3,3,3,3,3,3,3,0,3,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0047,3,3,3,1,3,3,3,3,3,3,3,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0048,3,3,3,1,3,3,3,3,3,3,3,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0049,3,3,3,1,3,3,3,3,3,0,3,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0050,3,3,3,3,3,3,3,3,3,0,3,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0051,3,3,3,2,3,3,3,3,3,3,3,3,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0052,3,3,3,1,3,3,3,3,3,3,3,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0053,3,3,2,2,3,3,2,2,2,2,3,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0054,3,3,3,3,3,3,3,3,3,0,3,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
